"first","last","gender","email","dob","country","street","city","state","postcode","phone","cell"
"Annie","Kuzucu","female","annie.dengler@example.com","1959-05-02","Germany","Dorfstraße","Nordwestmecklenburg","Sachsen-Anhalt","87515","0113-6957255","0170-6562390"
"Ceyhun","Kuzucu","male","ceyhun.kuzucu@example.com","1993-01-22","Turkey","Maçka Cd","Yalova","Antalya","94893","(577)-680-4960","(557)-419-6505"
"Katrina","Kuzucu","female","katrina.oliver@example.com","1978-04-20","Australia","Karen Dr","Bundaberg","Victoria","265","07-6229-8389","0412-872-200"
"Marilyn","Kuzucu","female","marilyn.hicks@example.com","1971-05-17","United States","W Sherman Dr","Wichita Falls","Hawaii","39096","(753) 615-9429","(699) 332-4606"
"Antonia","Kuzucu","female","antonia.ibanez@example.com","1988-09-02","Spain","Ronda de Toledo","Valencia","Aragón","82012","988-200-262","667-697-611"
"Ognyana","Kuzucu","female","ognyana.shpek@example.com","1948-10-09","Ukraine","Ivana Chmoli","Bahchisaray","Zaporizka","84393","(068) E59-4636","(067) U33-5586"
"Radechko","Kuzucu","male","radechko.korolko@example.com","1953-11-26","Ukraine","Akademika Zabolotnogo","Voznesenivka","Lvivska","19698","(099) G97-2922","(098) K54-9641"
"Rayisa","Kuzucu","female","rayisa.lushchik@example.com","1947-04-21","Ukraine","Ploshcha Narodna","Dniprorudne","Chernivecka","48682","(097) J03-1996","(066) R23-4836"
"Montserrat","Kuzucu","female","montserrat.martinez@example.com","1976-05-10","Spain","Calle de Pedro Bosch","Orihuela","Ceuta","36755","963-989-607","627-575-177"
"Kyle","Kuzucu","male","kyle.bell@example.com","1965-01-06","Australia","W Pecan St","Bundaberg","Queensland","8419","03-6227-8539","0418-964-864"
"Elisa","Kuzucu","female","elisa.tellez@example.com","1963-06-16","Mexico","Eje vial Sur Romero","El Alberto","Tamaulipas","42882","(601) 740 2012","(635) 952 9967"
"Louis","Kuzucu","male","louis.ma@example.com","1958-11-21","Canada","Pierre Ave","Beaumont","New Brunswick","F0L 7L2","B79 F93-8327","A44 J56-7426"
"Abelardo","Kuzucu","male","abelardo.robledo@example.com","2000-09-20","Mexico","Corredor Barrios","Unión de Guadalupe","Guerrero","32643","(663) 230 8427","(619) 651 8435"
"Harsh","Kuzucu","male","harsh.holla@example.com","1997-08-30","India","Pali Hill","Ambarnath","Andaman and Nicobar Islands","19774","8931240775","9207645210"
"Katrine","Kuzucu","female","katrine.sorensen@example.com","1995-06-11","Denmark","Søgårdsvej","Sandved","Danmark","47436","28967312","02383664"
"Aidan","Kuzucu","male","aidan.edwards@example.com","1997-01-20","New Zealand","Railway Road","New Plymouth","Hawke'S Bay","80941","(662)-570-9583","(298)-456-9394"
"Pablo","Kuzucu","male","pablo.carrasco@example.com","1994-05-05","Spain","Calle del Arenal","Pamplona","Cataluña","63408","938-263-740","633-674-772"
"Samu","Kuzucu","male","samu.ketola@example.com","1955-04-21","Finland","Tehtaankatu","Rantasalmi","Lapland","37268","04-721-072","049-454-35-89"
"Angelo","Kuzucu","male","angelo.giraud@example.com","1949-06-04","France","Rue du Bon-Pasteur","Angers","Martinique","41044","05-62-13-01-41","06-70-28-47-74"
"Lucas","Kuzucu","male","lucas.boyd@example.com","1975-06-01","United Kingdom","South Street","Ely","County Down","X93 4DR","017687 26105","07190 441595"
"Ítalo","Kuzucu","male","italo.rocha@example.com","1956-11-04","Brazil","Rua Das Flores ","Caxias do Sul","Roraima","98570","(59) 7067-6729","(67) 7145-5278"
"Ida","Kuzucu","female","ida.jensen@example.com","1993-05-11","Denmark","Fredensgade","Hirtsals","Danmark","83210","96789390","05641249"
"Madison","Kuzucu","female","madison.walker@example.com","1987-08-29","Canada","Regent Ave","Maitland","Québec","X8H 9K8","B32 N53-3436","P51 V18-0037"
"Chandresh","Kuzucu","male","chandresh.mathew@example.com","1949-07-23","India","MG Rd Bangalore","Udaipur","Sikkim","91654","9233090423","8955568318"
"Cody","Kuzucu","male","cody.horton@example.com","1953-09-20","Australia","Prospect Rd","Shepparton","Western Australia","4629","05-8506-6518","0470-478-062"
"Kenzo","Kuzucu","male","kenzo.gaillard@example.com","1967-06-20","France","Place des 44 Enfants D'Izieu","Saint-Étienne","Tarn","18843","01-27-44-37-86","06-87-27-30-03"
"Sander","Kuzucu","male","sander.poulsen@example.com","1962-09-23","Denmark","Sommervej","Nykøbing Sj.","Sjælland","70996","66422744","65187289"
"Klaus-Günter","Kuzucu","male","klaus-gunter.oberlander@example.com","1959-01-31","Germany","Marktplatz","Münzenberg","Baden-Württemberg","77693","0563-7350464","0177-9694547"
"Evan","Kuzucu","male","evan.girard@example.com","1995-09-23","France","Rue du Stade","Perpignan","Loire-Atlantique","21485","03-90-34-17-15","06-65-43-73-61"
"Julie","Kuzucu","female","julie.marie@example.com","1949-08-28","Switzerland","Rue Gasparin","Montfaucon","Basel-Stadt","5926","078 402 26 85","077 457 39 72"
"Lilou","Kuzucu","female","lilou.hubert@example.com","1991-09-12","France","Esplanade du 9 Novembre 1989","Aulnay-sous-Bois","Ardennes","54491","03-19-34-21-67","06-54-12-47-17"
"Aida","Kuzucu","female","aida.colin@example.com","1971-09-23","Switzerland","Rue de L'Abbé-Gillet","Chêne-Bourg","Appenzell Innerrhoden","6211","079 415 38 74","075 216 78 45"
"Babür","Kuzucu","male","babur.karabulut@example.com","1998-01-05","Turkey","Bağdat Cd","Kırşehir","Aksaray","17319","(439)-019-3184","(751)-982-8352"
